protocol,file,plateau_idx,load_nominal_Nm,rpm_nominal,rpm_meas,rpm_level,on_grid,plateau_dur_s,n_sub,speed_jitter_pct,f1_Hz,fr_Hz,slip_pct,sb_offset_Hz,sb_floor_bb_dB,cur_sb_1x_dB,I_rms,thd_pct,unbalance_pct,vib_1x_c2,vib_2x_c2,vib_3x_c2,vib_1x_c3,vib_2x_c3,vib_3x_c3,vib_1x_c4,vib_2x_c4,vib_3x_c4,sb_floor_bb_dB__std_in,sb_floor_bb_dB__ptp_in,cur_sb_1x_dB__std_in,cur_sb_1x_dB__ptp_in,vib_1x_c2__std_in,vib_1x_c2__ptp_in,vib_1x_c3__std_in,vib_1x_c3__ptp_in,vib_1x_c4__std_in,vib_1x_c4__ptp_in
speed,health_speed_circulation_20Nm_1000rpm_250706091847.csv,0,20,1000,987.8,1000,True,18.0,8,62.146,16.734,16.464,1.611,0.539,-41.04,-49.926,0.167,1.282,0.252,5.6e-05,4.3e-05,7e-06,0.000168,3.8e-05,1.4e-05,0.00076,9e-06,5e-06,,,0.505,1.649,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_20Nm_1000rpm_250706091847.csv,1,20,1000,489.3,500,True,18.0,8,62.146,8.318,8.155,1.96,0.326,-40.082,-52.814,0.152,1.085,0.172,1.4e-05,7e-06,7e-06,0.000174,5.6e-05,9e-06,1.1e-05,4.2e-05,1.2e-05,,,4.123,11.197,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_20Nm_1000rpm_250706091847.csv,2,20,1000,987.2,1000,True,18.0,8,62.146,16.733,16.453,1.676,0.561,-41.955,-49.645,0.168,1.288,0.251,5.3e-05,4.4e-05,8e-06,0.000163,3.5e-05,1.4e-05,0.000751,1.1e-05,7e-06,,,0.488,1.296,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_20Nm_2000rpm_250706092413.csv,0,20,2000,1975.4,2000,True,18.0,8,62.557,33.386,32.923,1.389,0.927,-46.706,-46.693,0.2,1.339,0.235,0.000608,0.000504,2.2e-05,0.00056,0.000205,1.9e-05,0.000433,7.6e-05,7e-06,2.442,6.626,4.155,10.253,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_20Nm_2000rpm_250706092413.csv,1,20,2000,1476.7,1500,True,18.0,8,62.557,24.997,24.612,1.54,0.77,-48.035,-48.097,0.184,1.354,0.226,0.000267,9.4e-05,5e-06,0.000174,0.000272,1.4e-05,0.000251,3.2e-05,4e-06,,,0.336,1.178,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_20Nm_2000rpm_250706092413.csv,2,20,2000,1978.1,2000,True,18.0,8,62.557,33.387,32.969,1.252,0.836,-43.116,-46.432,0.2,1.359,0.235,0.000605,0.000506,2.2e-05,0.000553,0.000198,1.5e-05,0.000425,6.9e-05,6e-06,,,3.428,10.872,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_20Nm_3000rpm_250706092929.csv,0,20,3000,2970.4,2950,True,18.0,8,63.783,50.122,49.506,1.228,1.231,-37.119,-43.71,0.228,1.42,0.245,0.001128,9.2e-05,3.8e-05,0.007398,0.000102,9e-05,0.000394,0.000187,1e-05,0.271,0.949,0.167,0.629,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_20Nm_3000rpm_250706092929.csv,1,20,3000,2480.5,2500,True,18.0,8,63.783,41.831,41.341,1.171,0.98,-38.345,-44.922,0.214,1.363,0.237,0.000603,0.000305,3.9e-05,0.000364,0.001374,0.000134,0.000327,0.000279,5e-06,2.609,8.04,0.15,0.416,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_20Nm_3000rpm_250706092929.csv,2,20,3000,2966.8,2950,True,18.0,8,63.783,50.121,49.447,1.346,1.35,-42.812,-43.433,0.228,1.428,0.252,0.001128,9.6e-05,4e-05,0.007438,0.000107,7.8e-05,0.000392,0.000183,7e-06,0.668,2.16,0.2,0.752,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_40Nm_1000rpm_250706092103.csv,0,40,1000,968.6,950,True,18.0,8,62.007,16.733,16.144,3.519,1.178,-41.91,-53.948,0.228,1.368,0.129,4.9e-05,3.8e-05,4e-06,0.000167,3.5e-05,5e-06,0.001024,1.2e-05,9e-06,1.276,4.753,0.364,1.004,0.0,0.0,0.0,0.0,0.0,0.0
