file,protocol,load_nominal_Nm,rpm_nominal,win_start_s,rpm,rpm_drift,f1_Hz,slip_pct,off_2s_Hz,df_Hz,resolvable,smear_Hz,lsb1_dB,usb1_dB,lsb1_snr,usb1_snr,headline_snr,naive_rise_dB,comb_coherence,unbalance_pct,ctrl_fr_snr,lsb2_snr,usb2_snr,lsb3_snr,usb3_snr
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,68.0,986.5,0.1,16.74,1.778,0.595,0.125,True,0.003,-33.8,-37.5,14.6,15.0,15.0,7.7,0.5,0.21,31.8,8.4,4.0,2.4,8.0
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,22.0,1971.0,0.1,33.383,1.596,1.065,0.125,True,0.004,-38.8,-38.9,20.0,19.0,20.0,5.1,1.0,0.28,32.5,12.6,20.7,8.4,10.5
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,46.0,2479.5,0.0,41.827,1.202,1.006,0.125,True,0.001,-36.7,-36.1,17.6,21.1,21.1,2.3,1.0,0.32,37.1,14.3,17.0,6.7,8.3
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,36.0,477.1,0.8,8.313,4.344,0.722,0.125,True,0.028,-40.6,-40.1,-0.1,2.1,2.1,1.0,0.83,0.09,24.5,15.1,12.8,2.4,3.1
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,46.0,1449.9,0.3,24.997,3.33,1.665,0.125,True,0.01,-35.7,-35.0,36.8,43.3,43.3,13.2,1.0,0.24,30.9,24.5,27.9,16.3,15.9
broken_bar_H_speed_circulation_40Nm_3000rpm_250706124054.csv,speed,40,3000,46.0,2429.5,10.7,41.822,3.179,2.659,0.125,True,0.357,-34.2,-33.6,44.3,41.9,44.3,4.7,1.0,0.29,36.2,27.7,29.9,1.8,9.7
broken_bar_H_torque_circulation_20Nm_1000rpm_250706121652.csv,torque,20,1000,72.0,987.1,0.9,16.742,1.739,0.582,0.125,True,0.03,-35.3,-37.5,15.2,16.3,16.3,0.6,0.5,0.12,31.7,12.2,5.1,5.1,7.5
broken_bar_H_torque_circulation_20Nm_2000rpm_250706121930.csv,torque,20,2000,60.0,1974.3,0.2,33.386,1.44,0.962,0.125,True,0.006,-38.8,-38.2,15.5,16.2,16.2,,1.0,0.23,33.2,18.5,17.2,13.6,10.8
broken_bar_H_torque_circulation_20Nm_3000rpm_250706122143.csv,torque,20,3000,10.0,2971.3,0.3,50.125,1.203,1.206,0.125,True,0.011,-37.3,-36.7,25.1,25.7,25.7,,1.0,0.29,39.2,13.7,17.4,11.9,12.0
broken_bar_H_torque_circulation_40Nm_1000rpm_250706122406.csv,torque,40,1000,14.0,967.3,0.0,16.739,3.689,1.235,0.125,True,0.001,-38.5,-37.6,23.3,26.2,26.2,-1.7,1.0,0.17,27.0,24.0,24.2,9.3,11.9
broken_bar_H_torque_circulation_40Nm_2000rpm_250706122621.csv,torque,40,2000,12.0,1940.0,0.2,33.386,3.153,2.106,0.125,True,0.005,-34.5,-34.8,42.4,38.9,42.4,,1.0,0.27,31.6,28.1,30.0,18.1,21.1
broken_bar_H_torque_circulation_40Nm_3000rpm_250706122824.csv,torque,40,3000,74.0,2918.6,0.0,50.125,2.956,2.963,0.125,True,0.0,-35.4,-34.7,36.4,37.1,37.1,,1.0,0.28,33.2,11.8,25.9,-1.9,5.6
