file,protocol,load_nominal_Nm,rpm_nominal,win_start_s,rpm,rpm_drift,f1_Hz,slip_pct,off_2s_Hz,df_Hz,resolvable,smear_Hz,lsb1_dB,usb1_dB,lsb1_snr,usb1_snr,headline_snr,naive_rise_dB,comb_coherence,unbalance_pct,ctrl_fr_snr,lsb2_snr,usb2_snr,lsb3_snr,usb3_snr
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,10.0,987.4,0.0,16.739,1.684,0.564,0.125,True,0.0,-32.6,-36.0,19.2,15.8,19.2,8.9,0.67,0.21,33.6,3.6,-1.5,1.1,4.1
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,12.0,987.5,0.0,16.739,1.683,0.563,0.125,True,0.0,-32.7,-36.3,20.7,13.7,20.7,8.8,0.67,0.21,33.4,2.1,2.6,6.7,-2.1
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,14.0,987.5,1.8,16.739,1.68,0.562,0.125,True,0.061,-32.8,-36.6,20.6,14.2,20.6,8.7,0.67,0.21,33.8,2.7,2.4,9.1,-1.2
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,16.0,987.5,1.8,16.739,1.674,0.56,0.125,True,0.06,-32.2,-35.9,22.3,16.0,22.3,9.3,0.67,0.21,33.7,6.0,1.4,8.8,1.5
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,18.0,987.5,0.1,16.739,1.678,0.562,0.125,True,0.005,-32.8,-36.7,22.6,14.2,22.6,8.7,0.67,0.21,32.3,8.8,3.8,5.5,4.3
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,20.0,987.4,2.0,16.739,1.688,0.565,0.125,True,0.066,-33.0,-36.7,21.7,14.9,21.7,8.5,0.67,0.21,32.8,4.6,0.8,1.8,1.4
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,22.0,987.3,0.2,16.739,1.695,0.567,0.125,True,0.006,-32.7,-36.3,21.0,15.6,21.0,8.8,0.67,0.21,32.4,3.0,0.1,1.5,3.6
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,34.0,489.2,0.5,8.31,1.882,0.313,0.125,False,0.018,0.0,0.0,54.3,51.3,54.3,41.0,0.0,0.11,35.4,21.3,14.2,9.2,2.4
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,36.0,489.2,0.1,8.306,1.831,0.304,0.125,False,0.002,0.0,0.0,51.8,51.8,51.8,41.0,0.33,0.1,34.3,21.0,23.4,10.0,3.2
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,38.0,489.2,0.4,8.307,1.845,0.307,0.125,False,0.014,0.0,0.0,53.7,53.7,53.7,41.0,0.17,0.1,33.2,17.8,17.8,3.5,7.7
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,40.0,489.6,0.4,8.308,1.778,0.295,0.125,False,0.014,0.0,0.0,56.1,54.0,56.1,41.0,0.33,0.11,34.6,24.3,18.3,4.8,9.6
