file,protocol,load_nominal_Nm,rpm_nominal,win_kind,win_start_s,rpm,rpm_level,f1_Hz,fr_Hz,slip_pct,R1x,R2x,axial_1x,axial_ratio,dom_radial,onex_snr_dB,cur_sb_1x_snr,unbalance_pct,f1_on_res,fr_on_res,on_resonance,sep_Hz,sep_bins,f1_in_1x,f1_near_1x,f1_in_2x,slip_suspect,low_speed_em,vib_f1_line,em_over_1x,fr_on_axial_res,r1x_over_health,vib_1x_c2,vib_2x_c2,vib_3x_c2,vib_1x_c3,vib_2x_c3,vib_3x_c3,vib_1x_c4,vib_2x_c4,vib_3x_c4
Rotor_unbalance_speed_circulation_20Nm_1000rpm_250706100039.csv,speed,20,1000,plateau,9.8,988.6,1000,16.734,16.477,1.536,0.00023,3.5e-05,0.001886,8.194,c2,38.0,29.3,0.77,False,False,False,0.257,4.6,False,True,False,False,False,1.5e-05,0.06,True,1.32,0.000181,2.6e-05,4e-06,0.000142,2.4e-05,1.6e-05,0.001886,9e-06,2e-06
Rotor_unbalance_speed_circulation_20Nm_1000rpm_250706100039.csv,speed,20,1000,plateau,34.2,490.0,500,8.318,8.167,1.809,0.00042,1.1e-05,3.2e-05,0.076,c3,43.5,20.4,0.72,False,False,False,0.15,2.7,True,False,False,False,True,0.000273,0.65,False,,1.9e-05,5e-06,8e-06,0.00042,1e-05,4e-06,3.2e-05,1.3e-05,4e-06
Rotor_unbalance_speed_circulation_20Nm_1000rpm_250706100039.csv,speed,20,1000,plateau,59.3,989.0,1000,16.734,16.484,1.493,0.000226,3.5e-05,0.001904,8.407,c2,38.2,29.6,0.77,False,False,False,0.25,4.5,False,True,False,False,False,1.3e-05,0.06,True,1.3,0.000179,2.4e-05,4e-06,0.000139,2.6e-05,1.9e-05,0.001904,1e-05,1e-05
Rotor_unbalance_speed_circulation_20Nm_2000rpm_250706100456.csv,speed,20,2000,plateau,10.5,1979.5,2000,33.388,32.992,1.188,0.001071,0.000391,0.000505,0.472,c3,52.8,38.5,0.76,False,False,False,0.397,7.1,False,True,False,False,False,0.000139,0.13,False,1.35,0.000371,0.000357,1.4e-05,0.001004,0.000162,5e-06,0.000505,6.5e-05,9e-06
Rotor_unbalance_speed_circulation_20Nm_2000rpm_250706100456.csv,speed,20,2000,plateau,35.8,1479.5,1500,24.997,24.658,1.357,0.000598,0.000218,0.00058,0.97,c3,45.8,34.4,0.77,False,False,False,0.339,6.1,False,True,False,False,False,3.8e-05,0.06,False,1.83,0.000292,5.1e-05,7e-06,0.000523,0.000212,1.1e-05,0.00058,2.5e-05,4e-06
Rotor_unbalance_speed_circulation_20Nm_2000rpm_250706100456.csv,speed,20,2000,plateau,60.1,1977.4,2000,33.389,32.957,1.293,0.001068,0.000392,0.000506,0.474,c3,52.0,37.6,0.76,False,False,False,0.432,7.8,False,True,False,False,False,0.000133,0.12,False,1.35,0.000369,0.000358,1.3e-05,0.001002,0.000159,4e-06,0.000506,6.9e-05,1.6e-05
Rotor_unbalance_speed_circulation_20Nm_3000rpm_250706100911.csv,speed,20,3000,plateau,10.8,2978.8,3000,50.122,49.647,0.948,0.012444,0.000144,0.000942,0.076,c3,75.2,41.2,0.78,True,True,True,0.475,8.6,False,False,False,False,False,0.000395,0.03,False,1.96,0.002741,5e-05,4e-06,0.012139,0.000136,7e-06,0.000942,2.8e-05,7e-06
Rotor_unbalance_speed_circulation_20Nm_3000rpm_250706100911.csv,speed,20,3000,plateau,35.5,2479.1,2500,41.837,41.318,1.239,0.001414,0.000924,0.001009,0.714,c2,55.5,41.1,0.76,False,False,False,0.518,9.3,False,False,False,False,False,9e-06,0.01,False,1.89,0.001339,9.1e-05,1.3e-05,0.000457,0.000919,0.000133,0.001009,0.000183,1.1e-05
Rotor_unbalance_speed_circulation_20Nm_3000rpm_250706100911.csv,speed,20,3000,plateau,60.2,2977.0,3000,50.123,49.617,1.01,0.013671,0.000315,0.001014,0.074,c3,75.4,41.5,0.77,True,True,True,0.506,9.1,False,False,False,False,False,0.000406,0.03,False,2.15,0.002973,0.00013,1.3e-05,0.013344,0.000286,3.6e-05,0.001014,6.4e-05,1.8e-05
Rotor_unbalance_speed_circulation_40Nm_1000rpm_250706100252.csv,speed,40,1000,plateau,10.4,970.4,1000,16.733,16.174,3.346,0.000225,3.6e-05,0.002386,10.594,c2,38.6,24.6,0.79,False,False,False,0.56,10.1,False,False,False,False,False,9e-06,0.04,True,1.29,0.000181,2.7e-05,4e-06,0.000134,2.3e-05,8e-06,0.002386,1.2e-05,8e-06
Rotor_unbalance_speed_circulation_40Nm_1000rpm_250706100252.csv,speed,40,1000,plateau,34.9,478.5,500,8.317,7.974,4.119,0.000564,1.1e-05,3.8e-05,0.067,c3,47.8,20.4,0.72,False,False,False,0.343,6.2,False,True,False,False,True,7e-06,0.01,False,,2.8e-05,8e-06,2e-06,0.000563,7e-06,4e-06,3.8e-05,2.3e-05,2e-06
Rotor_unbalance_speed_circulation_40Nm_1000rpm_250706100252.csv,speed,40,1000,plateau,60.0,969.7,1000,16.734,16.161,3.42,0.000227,3.1e-05,0.002362,10.393,c2,37.1,25.5,0.79,False,False,False,0.572,10.3,False,False,False,False,False,4e-06,0.02,True,1.3,0.000186,2.3e-05,4e-06,0.000131,2.1e-05,9e-06,0.002362,1e-05,5e-06
Rotor_unbalance_speed_circulation_40Nm_2000rpm_250706100657.csv,speed,40,2000,plateau,10.6,1947.0,2000,33.39,32.45,2.814,0.001163,0.000535,0.000536,0.461,c3,52.8,36.3,0.75,False,False,False,0.94,16.9,False,False,False,False,False,0.000153,0.13,False,1.47,0.000334,0.000502,1.8e-05,0.001114,0.000187,1.1e-05,0.000536,0.000109,1.5e-05
Rotor_unbalance_speed_circulation_40Nm_2000rpm_250706100657.csv,speed,40,2000,plateau,35.7,1452.4,1500,24.998,24.206,3.168,0.000641,8.5e-05,0.000567,0.885,c3,47.1,34.3,0.78,False,False,False,0.792,14.3,False,False,False,False,False,3.3e-05,0.05,False,1.96,0.00032,4.9e-05,9e-06,0.000555,7e-05,9e-06,0.000567,2.2e-05,5e-06
Rotor_unbalance_speed_circulation_40Nm_2000rpm_250706100657.csv,speed,40,2000,plateau,60.3,1944.2,2000,33.389,32.403,2.955,0.001162,0.000524,0.00054,0.465,c3,52.6,35.6,0.75,False,False,False,0.987,17.8,False,False,False,False,False,0.000146,0.13,False,1.46,0.000329,0.000491,1.2e-05,0.001114,0.000183,1.3e-05,0.00054,0.000109,1.5e-05
Rotor_unbalance_speed_circulation_40Nm_3000rpm_250706101114.csv,speed,40,3000,plateau,10.8,2927.3,3000,50.123,48.788,2.663,0.011452,0.000234,0.000885,0.077,c3,72.1,34.2,0.67,True,True,True,1.335,24.0,False,False,False,False,False,0.000256,0.02,False,1.8,0.00315,0.000206,7.8e-05,0.01101,0.00011,6.1e-05,0.000885,0.000167,2.2e-05
Rotor_unbalance_speed_circulation_40Nm_3000rpm_250706101114.csv,speed,40,3000,plateau,35.2,2443.1,2500,41.837,40.719,2.673,0.001427,0.000839,0.001005,0.704,c2,55.7,39.2,0.72,False,False,False,1.118,20.1,False,False,False,False,False,1e-05,0.01,False,1.91,0.001314,7.1e-05,1.9e-05,0.000559,0.000836,5.7e-05,0.001005,0.000194,5e-06
Rotor_unbalance_speed_circulation_40Nm_3000rpm_250706101114.csv,speed,40,3000,plateau,60.3,2926.1,3000,50.123,48.768,2.703,0.011371,0.000225,0.000892,0.078,c3,72.3,33.6,0.68,True,True,True,1.355,24.4,False,False,False,False,False,0.000251,0.02,False,1.79,0.003159,0.000202,8.1e-05,0.010923,9.9e-05,5.7e-05,0.000892,0.000166,2.9e-05
Rotor_unbalance_torque_circulation_20Nm_1000rpm_250706094752.csv,torque,20,1000,load_seg,1.0,1002.6,1000,16.741,16.71,0.184,0.000263,0.000169,0.001498,5.691,c3,35.4,18.4,0.86,False,False,False,0.031,0.2,True,False,True,False,False,0.000197,0.75,True,,0.000174,9.4e-05,1.3e-05,0.000197,0.00014,6.4e-05,0.001498,8e-05,6e-06
Rotor_unbalance_torque_circulation_20Nm_1000rpm_250706094752.csv,torque,20,1000,load_seg,3.0,1002.6,1000,16.744,16.71,0.203,0.000257,0.000161,0.001516,5.899,c3,34.8,17.4,0.84,False,False,False,0.034,0.3,True,False,True,False,False,0.000192,0.75,True,,0.00017,6.3e-05,1.1e-05,0.000192,0.000148,3.1e-05,0.001516,7.1e-05,8e-06
Rotor_unbalance_torque_circulation_20Nm_1000rpm_250706094752.csv,torque,20,1000,load_seg,5.0,996.7,1000,16.747,16.612,0.804,0.000247,0.000152,0.001643,6.654,c3,34.5,19.7,0.81,False,False,False,0.135,1.1,True,False,True,False,False,0.000175,0.71,True,,0.000174,8.1e-05,1.2e-05,0.000175,0.000128,3.2e-05,0.001643,6.3e-05,6e-06
Rotor_unbalance_torque_circulation_20Nm_1000rpm_250706094752.csv,torque,20,1000,load_seg,7.0,990.8,1000,16.746,16.513,1.391,0.000244,7.2e-05,0.001775,7.277,c2,33.8,25.4,0.77,False,False,False,0.233,1.9,True,False,False,False,False,0.000168,0.69,True,,0.000179,3.2e-05,3e-06,0.000166,6.4e-05,1.3e-05,0.001775,1.7e-05,1.4e-05
Rotor_unbalance_torque_circulation_20Nm_1000rpm_250706094752.csv,torque,20,1000,load_seg,9.0,988.8,1000,16.741,16.481,1.558,0.000221,6.1e-05,0.001809,8.194,c2,32.8,26.7,0.76,False,False,False,0.261,2.1,True,False,False,False,False,0.00017,0.77,True,,0.000176,3e-05,5e-06,0.000134,5.4e-05,2.6e-05,0.001809,2.2e-05,5e-06
Rotor_unbalance_torque_circulation_20Nm_1000rpm_250706094752.csv,torque,20,1000,load_seg,11.0,988.8,1000,16.741,16.48,1.555,0.000235,6.7e-05,0.001795,7.626,c2,33.9,27.6,0.75,False,False,False,0.26,2.1,True,False,False,False,False,0.000169,0.72,True,,0.000178,3.4e-05,1.6e-05,0.000154,5.8e-05,1.6e-05,0.001795,2.9e-05,8e-06
Rotor_unbalance_torque_circulation_20Nm_1000rpm_250706094752.csv,torque,20,1000,load_seg,13.0,988.8,1000,16.74,16.48,1.554,0.000234,7.3e-05,0.001805,7.697,c2,34.7,24.5,0.74,False,False,False,0.26,2.1,True,False,False,False,False,0.000173,0.74,True,,0.000182,2.9e-05,1e-05,0.000147,6.7e-05,3e-05,0.001805,2.6e-05,6e-06
Rotor_unbalance_torque_circulation_20Nm_1000rpm_250706094752.csv,torque,20,1000,load_seg,15.0,988.8,1000,16.74,16.48,1.552,0.000236,6.5e-05,0.00182,7.699,c2,35.4,24.9,0.74,False,False,False,0.26,2.1,True,False,False,False,False,0.000168,0.71,True,,0.000177,4.1e-05,5e-06,0.000156,5e-05,1.7e-05,0.00182,2.4e-05,4e-06
